Nome,Nível,Escola,Tempo de conjuração,Alcance,Componentes,Duração,Concentração,Ritual,Descrição,Tipo de dano,Teste de resistência,Classe(s)
,,,,,,,,,,-,-,Druid
,,,,,,,,,,-,-,"Cleric, Wizard"
,,,,,,,,,,-,-,"Druid, Wizard"
,,,,,,,,,,-,-,"Cleric, Wizard"
,,,,,,,,,,-,-,Wizard
,,,,,,,,,,-,-,Wizard
,,,,,,,,,,Force,-,"Bard, Wizard"
,,,,,,,,,,-,-,Wizard
,,,,,,,,,,-,-,"Cleric, Warlock, Wizard"
,,,,,,,,,,-,-,Cleric
,,,,,,,,,,-,-,"Bard, Druid"
,,,,,,,,,,-,CHA,"Bard, Cleric"
,,,,,,,,,,-,CHA,"Cleric, Paladin, Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,-,"Druid, Ranger"
,,,,,,,,,,-,-,Cleric
,,,,,,,,,,-,WIS,"Bard, Cleric, Wizard"
,,,,,,,,,,Bludgeoning,DEX,Wizard
,,,,,,,,,,Slashing,DEX,Cleric
,,,,,,,,,,-,-,"Cleric, Paladin"
,,,,,,,,,,Necrotic,CON,"Druid, Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,CON,"Bard, Cleric, Sorcerer, Wizard"
,,,,,,,,,,-,-,"Sorcerer, Wizard"
,,,,,,,,,,-,-,"Sorcerer, Wizard"
,,,,,,,,,,Radiant,-,Paladin
,,,,,,,,,,Fire,DEX,"Sorcerer, Wizard"
,,,,,,,,,,Lightning,-,Druid
,,,,,,,,,,-,CHA,"Bard, Cleric"
,,,,,,,,,,Lightning,DEX,"Sorcerer, Wizard"
,,,,,,,,,,-,WIS,"Bard, Druid, Sorcerer, Warlock, Wizard"
,,,,,,,,,,Necrotic,-,"Sorcerer, Warlock, Wizard"
,,,,,,,,,,Necrotic,CON,"Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,-,"Bard, Cleric, Sorcerer, Wizard"
,,,,,,,,,,-,-,Wizard
,,,,,,,,,,Poison,CON,"Sorcerer, Wizard"
,,,,,,,,,,-,-,"Sorcerer, Wizard"
,,,,,,,,,,-,WIS,"Cleric, Paladin"
,,,,,,,,,,-,-,Cleric
,,,,,,,,,,-,-,"Druid, Ranger"
,,,,,,,,,,-,-,"Bard, Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,WIS,Bard
,,,,,,,,,,Cold,CON,"Sorcerer, Wizard"
,,,,,,,,,,-,WIS,"Bard, Druid, Sorcerer, Wizard"
,,,,,,,,,,-,-,"Druid, Ranger"
,,,,,,,,,,-,-,Cleric
,,,,,,,,,,-,-,"Druid, Wizard"
,,,,,,,,,,-,-,"Druid, Warlock"
,,,,,,,,,,-,-,"Druid, Wizard"
,,,,,,,,,,-,-,"Druid, Ranger"
,,,,,,,,,,-,INT,"Warlock, Wizard"
,,,,,,,,,,-,CON,"Cleric, Druid"
,,,,,,,,,,-,-,Wizard
,,,,,,,,,,-,-,"Cleric, Wizard"
,,,,,,,,,,Bludgeoning,STR,"Cleric, Druid, Wizard"
,,,,,,,,,,-,-,"Cleric, Druid, Wizard"
,,,,,,,,,,-,-,"Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,-,"Cleric, Druid, Paladin"
,,,,,,,,,,-,-,"Cleric, Druid"
,,,,,,,,,,-,-,"Cleric, Warlock, Wizard"
,,,,,,,,,,-,-,"Sorcerer, Wizard"
,,,,,,,,,,-,-,"Bard, Cleric, Druid, Paladin, Ranger"
,,,,,,,,,,-,-,"Bard, Sorcerer, Wizard"
,,,,,,,,,,-,-,"Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,-,"Druid, Ranger, Sorcerer, Wizard"
,,,,,,,,,,-,-,"Cleric, Druid, Paladin, Ranger, Sorcerer"
,,,,,,,,,,-,-,"Cleric, Paladin"
,,,,,,,,,,Fire,DEX,"Sorcerer, Wizard"
,,,,,,,,,,-,-,"Warlock, Wizard"
,,,,,,,,,,-,-,"Cleric, Paladin"
,,,,,,,,,,-,-,"Bard, Cleric, Druid, Paladin, Ranger, Sorcerer, Wizard"
,,,,,,,,,,-,-,"Cleric, Druid, Paladin, Ranger"
,,,,,,,,,,-,-,"Bard, Sorcerer, Wizard"
,,,,,,,,,,Force,-,"Bard, Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,-,"Bard, Sorcerer, Wizard"
,,,,,,,,,,Force,DEX,"Sorcerer, Wizard"
,,,,,,,,,,-,CHA,"Cleric, Paladin"
,,,,,,,,,,-,-,"Bard, Cleric, Druid, Paladin, Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,-,Druid
,,,,,,,,,,Radiant,-,Paladin
,,,,,,,,,,-,CHA,Cleric
,,,,,,,,,,-,WIS,"Druid, Sorcerer"
,,,,,,,,,,-,WIS,"Bard, Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,WIS,"Bard, Sorcerer, Wizard"
,,,,,,,,,,Psychic,WIS,"Bard, Warlock, Wizard"
,,,,,,,,,,-,-,Druid
,,,,,,,,,,-,-,"Cleric, Druid, Sorcerer"
,,,,,,,,,,Force,-,Warlock
,,,,,,,,,,-,-,"Bard, Cleric, Druid, Sorcerer"
,,,,,,,,,,-,CON,"Sorcerer, Wizard"
,,,,,,,,,,-,STR,Druid
,,,,,,,,,,-,WIS,"Bard, Warlock"
,,,,,,,,,,-,-,"Bard, Cleric, Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,-,"Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,WIS,"Bard, Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,-,Wizard
,,,,,,,,,,-,DEX,Druid
,,,,,,,,,,Piercing,-,Wizard
,,,,,,,,,,-,-,"Sorcerer, Wizard"
,,,,,,,,,,-,WIS,"Bard, Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,-,"Bard, Sorcerer, Wizard"
,,,,,,,,,,Psychic,INT,"Bard, Druid, Warlock, Wizard"
,,,,,,,,,,-,-,Wizard
,,,,,,,,,,-,-,Paladin
,,,,,,,,,,-,-,"Bard, Cleric, Druid"
,,,,,,,,,,-,-,"Cleric, Druid, Ranger"
,,,,,,,,,,Necrotic,CON,"Sorcerer, Warlock, Wizard"
,,,,,,,,,,Fire,-,"Sorcerer, Wizard"
,,,,,,,,,,Fire,-,Wizard
,,,,,,,,,,Fire,DEX,"Cleric, Druid, Sorcerer"
,,,,,,,,,,Fire,DEX,"Sorcerer, Wizard"
,,,,,,,,,,Fire,-,Druid
,,,,,,,,,,Fire,DEX,Cleric
,,,,,,,,,,Fire,-,"Druid, Wizard"
,,,,,,,,,,-,CON,"Warlock, Wizard"
,,,,,,,,,,-,-,Wizard
,,,,,,,,,,-,-,"Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,-,"Druid, Ranger, Sorcerer, Wizard"
,,,,,,,,,,-,-,Cleric
,,,,,,,,,,-,-,"Bard, Warlock, Wizard"
,,,,,,,,,,-,-,"Bard, Druid, Warlock, Wizard"
,,,,,,,,,,-,-,"Bard, Cleric, Druid, Ranger"
,,,,,,,,,,Cold,CON,Wizard
,,,,,,,,,,-,-,"Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,-,"Cleric, Sorcerer, Wizard"
,,,,,,,,,,-,WIS,"Bard, Cleric, Druid, Paladin, Wizard"
,,,,,,,,,,-,-,"Cleric, Wizard"
,,,,,,,,,,-,-,Druid
,,,,,,,,,,-,-,"Bard, Warlock"
,,,,,,,,,,-,-,"Sorcerer, Wizard"
,,,,,,,,,,-,-,"Bard, Cleric, Wizard"
,,,,,,,,,,-,-,"Druid, Ranger"
,,,,,,,,,,-,DEX,Wizard
,,,,,,,,,,-,-,"Bard, Sorcerer, Wizard"
,,,,,,,,,,-,-,"Bard, Cleric, Druid"
,,,,,,,,,,Radiant,DEX,Cleric
,,,,,,,,,,-,-,"Bard, Wizard"
,,,,,,,,,,-,-,"Cleric, Druid"
,,,,,,,,,,Radiant,-,Cleric
,,,,,,,,,,-,STR,"Druid, Sorcerer, Wizard"
,,,,,,,,,,-,CHA,Cleric
,,,,,,,,,,-,-,"Bard, Druid, Warlock, Wizard"
,,,,,,,,,,Necrotic,CON,Cleric
,,,,,,,,,,-,-,"Sorcerer, Wizard"
,,,,,,,,,,-,-,"Cleric, Druid"
,,,,,,,,,,-,-,"Bard, Cleric, Druid"
,,,,,,,,,,Fire,CON,"Bard, Druid"
,,,,,,,,,,Fire,DEX,Warlock
,,,,,,,,,,-,-,"Cleric, Druid"
,,,,,,,,,,-,-,"Bard, Paladin"
,,,,,,,,,,-,WIS,"Bard, Wizard"
,,,,,,,,,,-,WIS,"Bard, Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,WIS,"Bard, Cleric, Druid, Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,-,Cleric
,,,,,,,,,,-,-,Ranger
,,,,,,,,,,-,WIS,"Bard, Sorcerer, Warlock, Wizard"
,,,,,,,,,,Bludgeoning,DEX,"Druid, Sorcerer, Wizard"
,,,,,,,,,,-,-,"Bard, Wizard"
,,,,,,,,,,-,-,"Bard, Warlock, Wizard"
,,,,,,,,,,-,WIS,"Warlock, Wizard"
,,,,,,,,,,Fire,DEX,"Sorcerer, Wizard"
,,,,,,,,,,Necrotic,-,Cleric
,,,,,,,,,,Piercing,CON,"Cleric, Druid, Sorcerer"
,,,,,,,,,,-,-,Wizard
,,,,,,,,,,-,-,"Bard, Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,-,"Bard, Wizard"
,,,,,,,,,,-,-,"Druid, Ranger, Sorcerer, Wizard"
,,,,,,,,,,-,-,"Bard, Sorcerer, Wizard"
,,,,,,,,,,-,-,"Bard, Cleric, Wizard"
,,,,,,,,,,-,-,"Bard, Cleric, Druid, Paladin, Ranger"
,,,,,,,,,,-,-,"Sorcerer, Wizard"
,,,,,,,,,,-,DEX,"Bard, Cleric, Sorcerer, Wizard"
,,,,,,,,,,Lightning,DEX,"Sorcerer, Wizard"
,,,,,,,,,,-,-,"Bard, Druid, Ranger"
,,,,,,,,,,-,-,"Bard, Cleric, Druid, Paladin, Ranger, Wizard"
,,,,,,,,,,-,-,"Bard, Cleric, Druid, Paladin, Ranger, Wizard"
,,,,,,,,,,-,-,"Bard, Druid, Ranger, Wizard"
,,,,,,,,,,-,-,"Sorcerer, Wizard"
,,,,,,,,,,-,-,"Bard, Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,CHA,"Cleric, Paladin, Warlock, Wizard"
,,,,,,,,,,-,CHA,Wizard
,,,,,,,,,,Force,-,"Sorcerer, Wizard"
,,,,,,,,,,-,-,"Bard, Wizard"
,,,,,,,,,,-,-,"Paladin, Wizard"
,,,,,,,,,,-,-,"Bard, Wizard"
,,,,,,,,,,-,-,"Bard, Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,-,"Bard, Cleric, Druid"
,,,,,,,,,,-,-,Cleric
,,,,,,,,,,-,-,Cleric
,,,,,,,,,,-,WIS,"Bard, Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,-,Wizard
,,,,,,,,,,-,-,Cleric
,,,,,,,,,,-,-,"Cleric, Bard, Druid, Sorcerer, Wizard"
,,,,,,,,,,-,-,"Bard, Sorcerer, Wizard"
,,,,,,,,,,Fire,DEX,"Sorcerer, Wizard"
,,,,,,,,,,-,-,"Bard, Wizard"
,,,,,,,,,,-,-,"Bard, Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,-,"Bard, Druid, Wizard"
,,,,,,,,,,-,-,"Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,-,"Bard, Wizard"
,,,,,,,,,,-,-,"Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,WIS,"Bard, Wizard"
,,,,,,,,,,Radiant,CON,Druid
,,,,,,,,,,-,-,"Druid, Sorcerer, Wizard"
,,,,,,,,,,-,-,"Bard, Ranger, Wizard"
,,,,,,,,,,-,-,"Druid, Ranger"
,,,,,,,,,,-,-,Wizard
,,,,,,,,,,Psychic,WIS,Wizard
,,,,,,,,,,-,-,Wizard
,,,,,,,,,,-,-,Cleric
,,,,,,,,,,-,CHA,"Bard, Cleric, Druid, Wizard"
,,,,,,,,,,-,CHA,"Cleric, Druid, Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,-,"Bard, Druid, Ranger"
,,,,,,,,,,Poison,CON,"Sorcerer, Warlock, Wizard, Druid"
,,,,,,,,,,-,WIS,"Bard, Druid, Sorcerer, Wizard"
,,,,,,,,,,-,-,"Bard, Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,-,"Bard, Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,-,Cleric
,,,,,,,,,,-,-,"Bard, Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,DEX,"Sorcerer, Wizard"
,,,,,,,,,,-,-,Wizard
,,,,,,,,,,-,-,Wizard
,,,,,,,,,,Fire,-,Druid
,,,,,,,,,,-,-,"Bard, Wizard"
,,,,,,,,,,-,-,"Bard, Wizard"
,,,,,,,,,,-,-,"Cleric, Druid, Ranger, Sorcerer, Wizard"
,,,,,,,,,,-,-,"Cleric, Paladin, Warlock, Wizard"
,,,,,,,,,,-,-,"Cleric, Druid, Paladin, Ranger"
,,,,,,,,,,-,-,"Cleric, Druid, Paladin"
,,,,,,,,,,-,-,"Bard, Cleric, Paladin"
,,,,,,,,,,-,CON,"Warlock, Wizard"
,,,,,,,,,,Cold,-,"Sorcerer, Wizard"
,,,,,,,,,,-,-,"Bard, Cleric, Druid"
,,,,,,,,,,-,-,Druid
,,,,,,,,,,-,-,"Cleric, Paladin, Warlock, Wizard"
,,,,,,,,,,-,DEX,Wizard
,,,,,,,,,,-,-,"Cleric, Druid"
,,,,,,,,,,-,-,"Bard, Cleric"
,,,,,,,,,,-,DEX,"Druid, Sorcerer, Wizard"
,,,,,,,,,,-,-,"Cleric, Paladin"
,,,,,,,,,,-,-,Wizard
,,,,,,,,,,Radiant,DEX,Cleric
,,,,,,,,,,-,-,Cleric
,,,,,,,,,,Fire,-,"Sorcerer, Wizard"
,,,,,,,,,,-,WIS,"Bard, Cleric, Druid, Warlock, Wizard"
,,,,,,,,,,-,-,Wizard
,,,,,,,,,,-,-,"Bard, Sorcerer, Wizard"
,,,,,,,,,,-,-,"Bard, Sorcerer, Wizard"
,,,,,,,,,,-,-,"Bard, Cleric, Wizard"
,,,,,,,,,,-,-,Wizard
,,,,,,,,,,-,-,"Druid, Wizard"
,,,,,,,,,,Thunder,CON,"Bard, Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,-,"Sorcerer, Wizard"
,,,,,,,,,,-,-,"Cleric, Paladin"
,,,,,,,,,,-,-,Druid
,,,,,,,,,,Lightning,-,"Sorcerer, Wizard"
,,,,,,,,,,-,-,"Bard, Cleric, Ranger"
,,,,,,,,,,-,-,"Bard, Sorcerer, Wizard"
,,,,,,,,,,-,-,Wizard
,,,,,,,,,,-,-,"Bard, Sorcerer, Wizard"
,,,,,,,,,,-,-,"Druid, Sorcerer, Wizard"
,,,,,,,,,,-,WIS,"Sorcerer, Wizard"
,,,,,,,,,,-,-,Cleric
,,,,,,,,,,-,-,"Bard, Druid, Ranger"
,,,,,,,,,,-,-,"Bard, Cleric"
,,,,,,,,,,-,-,"Bard, Druid, Ranger"
,,,,,,,,,,-,-,"Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,-,"Druid, Ranger"
,,,,,,,,,,-,-,Cleric
,,,,,,,,,,Force,-,Cleric
,,,,,,,,,,-,CON,"Bard, Sorcerer, Wizard"
,,,,,,,,,,-,-,"Cleric, Druid, Wizard"
,,,,,,,,,,-,-,"Druid, Ranger, Sorcerer, Wizard"
,,,,,,,,,,Thunder,CON,Druid
,,,,,,,,,,-,WIS,"Bard, Sorcerer, Warlock, Wizard"
,,,,,,,,,,Radiant,CON,"Druid, Sorcerer, Wizard"
,,,,,,,,,,Radiant,CON,"Druid, Sorcerer, Wizard"
,,,,,,,,,,-,-,"Bard, Cleric, Wizard"
,,,,,,,,,,-,-,"Sorcerer, Wizard"
,,,,,,,,,,-,-,Wizard
,,,,,,,,,,-,-,"Bard, Sorcerer, Wizard"
,,,,,,,,,,-,-,"Bard, Sorcerer, Wizard"
,,,,,,,,,,-,-,Cleric
,,,,,,,,,,Thunder,CON,"Bard, Druid, Sorcerer, Wizard"
,,,,,,,,,,-,-,"Sorcerer, Wizard"
,,,,,,,,,,-,-,"Bard, Wizard"
,,,,,,,,,,-,-,"Bard, Cleric, Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,-,Druid
,,,,,,,,,,-,-,"Druid, Ranger"
,,,,,,,,,,-,-,"Bard, Warlock, Wizard"
,,,,,,,,,,-,-,"Cleric, Druid"
,,,,,,,,,,-,-,"Bard, Cleric, Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,-,"Bard, Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,-,"Bard, Warlock, Wizard"
,,,,,,,,,,Necrotic,-,"Warlock, Wizard"
,,,,,,,,,,Psychic,WIS,Bard
,,,,,,,,,,Fire,DEX,"Druid, Sorcerer, Wizard"
,,,,,,,,,,-,-,Wizard
,,,,,,,,,,Cold,DEX,Wizard
,,,,,,,,,,-,-,"Druid, Sorcerer, Wizard"
,,,,,,,,,,Piercing,DEX,Druid
,,,,,,,,,,-,-,Cleric
,,,,,,,,,,-,-,"Druid, Ranger, Sorcerer, Wizard"
,,,,,,,,,,-,-,"Cleric, Druid, Ranger, Sorcerer"
,,,,,,,,,,-,-,"Sorcerer, Wizard"
,,,,,,,,,,-,WIS,Wizard
,,,,,,,,,,-,-,Druid
,,,,,,,,,,Bludgeoning,STR,"Druid, Ranger"
,,,,,,,,,,-,-,"Sorcerer, Wizard"
,,,,,,,,,,-,-,Cleric
,,,,,,,,,,-,-,"Bard, Cleric, Paladin"
